"rider","Team","Cost","Stg","GC","PC","KOM","Spr","Sum","Bky","Ass","Tot","stage","directeur","team"
"Magnus Cort Nielsen","ORICA-Scott",10,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"EdG","Bad Hombres"
"Larry Warbasse","Aqua Blue Sport",6,NA,NA,NA,NA,NA,NA,NA,2,2,2,"EdG","Bad Hombres"
"Omar Fraile","Dimension Data",6,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"EdG","Bad Hombres"
"Rohan Dennis","BMC Racing Team",8,NA,15,NA,NA,NA,NA,NA,6,21,2,"EdG","Bad Hombres"
"Alberto Contador","Trek - Segafredo",18,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"EdG","Bad Hombres"
"Miguel Ángel López","Astana Pro Team",16,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Lee Taylor","Stinkys Strokers"
"Rui Costa","UAE Team Emirates",10,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Lee Taylor","Stinkys Strokers"
"Marc Soler","Movistar Team",12,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Lee Taylor","Stinkys Strokers"
"Domenico Pozzovivo","AG2R La Mondiale",12,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Lee Taylor","Stinkys Strokers"
"Sacha Modolo","UAE Team Emirates",10,80,NA,2,NA,NA,NA,NA,NA,82,2,"Lee Taylor","Stinkys Strokers"
"Rohan Dennis","BMC Racing Team",8,NA,15,NA,NA,NA,NA,NA,6,21,2,"Lee Taylor","Stinkys Strokers"
"Eros Capecchi","Quick-Step Floors",4,NA,NA,NA,NA,NA,NA,NA,26,26,2,"Lee Taylor","Stinkys Strokers"
"Lachlan Morton","Dimension Data",8,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Lee Taylor","Stinkys Strokers"
"Vincenzo Nibali","Bahrain Merida Pro Cycling Team",20,30,NA,NA,NA,NA,NA,NA,NA,30,2,"Lee Taylor","Stinkys Strokers"
"Christopher Froome","Team Sky",26,NA,12,NA,NA,NA,NA,NA,NA,12,2,"Simon Lyons","Brake Rub Regression"
"Vincenzo Nibali","Bahrain Merida Pro Cycling Team",20,30,NA,NA,NA,NA,NA,NA,NA,30,2,"Simon Lyons","Brake Rub Regression"
"George Bennett","Team LottoNL-Jumbo",10,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Simon Lyons","Brake Rub Regression"
"Rafal Majka","Bora - Hansgrohe",14,NA,1,NA,NA,NA,NA,NA,2,3,2,"Simon Lyons","Brake Rub Regression"
"Jens Debusschere","Lotto Soudal",6,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Simon Lyons","Brake Rub Regression"
"Omar Fraile","Dimension Data",6,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Simon Lyons","Brake Rub Regression"
"Eros Capecchi","Quick-Step Floors",4,NA,NA,NA,NA,NA,NA,NA,26,26,2,"Simon Lyons","Brake Rub Regression"
"Peter Stetina","Trek - Segafredo",4,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Simon Lyons","Brake Rub Regression"
"Bob Jungels","Quick-Step Floors",10,NA,8,NA,NA,NA,NA,NA,26,34,2,"Simon Lyons","Brake Rub Regression"
"Christopher Froome","Team Sky",26,NA,12,NA,NA,NA,NA,NA,NA,12,2,"Brendan Smith","The Banditos"
"Steven Kruijswijk","Team LottoNL-Jumbo",12,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Brendan Smith","The Banditos"
"Emanuel Buchmann","Bora - Hansgrohe",8,NA,NA,NA,NA,NA,NA,NA,2,2,2,"Brendan Smith","The Banditos"
"Ilnur Zakarin","Team Katusha - Alpecin",16,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Brendan Smith","The Banditos"
"Magnus Cort Nielsen","ORICA-Scott",10,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Brendan Smith","The Banditos"
"Eros Capecchi","Quick-Step Floors",4,NA,NA,NA,NA,NA,NA,NA,26,26,2,"Brendan Smith","The Banditos"
"Omar Fraile","Dimension Data",6,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Brendan Smith","The Banditos"
"Jesús Hernández","Trek - Segafredo",4,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Brendan Smith","The Banditos"
"Rafal Majka","Bora - Hansgrohe",14,NA,1,NA,NA,NA,NA,NA,2,3,2,"Brendan Smith","The Banditos"
"Christopher Froome","Team Sky",26,NA,12,NA,NA,NA,NA,NA,NA,12,2,"Ben Neal","Cooper`s Crankers"
"Steven Kruijswijk","Team LottoNL-Jumbo",12,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Ben Neal","Cooper`s Crankers"
"Jarlinson Pantano","Trek - Segafredo",8,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Ben Neal","Cooper`s Crankers"
"Ilnur Zakarin","Team Katusha - Alpecin",16,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Ben Neal","Cooper`s Crankers"
"Matteo Trentin","Quick-Step Floors",10,150,22,6,NA,10,NA,NA,18,206,2,"Ben Neal","Cooper`s Crankers"
"Salvatore Puccio","Team Sky",6,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Ben Neal","Cooper`s Crankers"
"Fernando Orjuela","Manzana Postobon",4,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Ben Neal","Cooper`s Crankers"
